,394.82,419.632,470.587,483.663,494.417,522.006,556.364,675.851,680.352,quality_Medium
218,93.1475,99.1353,101.65,101.631,101.988,102.302,101.688,102.036,101.884,0
219,75.1765,91.7405,100.495,100.817,101.511,101.11,100.819,101.03,101.006,0
220,83.8639,95.535,101.25,101.625,101.817,101.413,102.337,102.423,101.978,0
221,75.0679,90.2281,97.9751,98.8373,99.0439,98.8794,99.1457,99.0014,98.837,0
222,56.2286,70.687,80.2685,81.3086,81.9485,82.563,82.9635,83.0488,82.971,0
223,60.1935,75.7463,85.7768,86.8263,86.9864,87.7105,87.9746,88.5183,88.2341,0
224,51.1161,72.2141,91.7494,93.3407,95.4225,96.7383,97.5812,98.2316,98.4666,0
225,75.2583,92.2767,100.94,101.053,101.373,101.201,101.394,101.065,101.002,0
226,74.4677,91.3362,100.961,101.126,101.737,101.162,101.511,101.783,101.516,0
227,91.7906,95.6991,98.0167,97.7427,98.2918,97.8728,99.4939,99.3329,99.1588,0
228,87.6402,92.387,96.9062,97.9971,97.5013,97.5283,98.1843,97.3497,96.8581,0
229,72.6142,85.1488,93.0555,94.6173,94.4914,95.4877,95.8735,96.3426,96.0601,0
230,96.6059,98.312,98.9747,100.82,99.3068,99.8734,99.3052,99.887,99.7109,0
231,91.1706,92.1956,91.0603,92.458,91.1509,91.6329,90.7636,90.8012,90.6026,0
232,71.5477,88.3625,98.8243,98.6981,99.1478,98.9069,99.0213,99.6954,99.4327,0
233,68.6149,87.5597,99.4252,99.9031,100.452,100.478,100.509,101.021,100.527,0
234,103.703,104.172,104.433,105.036,104.801,104.335,105.14,103.72,103.884,0
235,82.886,92.2276,98.4206,99.3668,99.8806,100.066,100.989,100.155,100.143,0
236,64.2041,81.0749,91.3034,91.8375,92.0066,91.9238,91.8954,91.8485,91.8135,0
237,90.3921,92.7227,95.7875,96.0197,96.1061,96.4226,96.3536,98.5476,98.3895,0
238,59.7403,78.6698,93.3938,95.566,97.1442,99.3471,99.4224,100.367,100.087,0
239,80.7516,90.3746,97.1332,97.0583,97.1565,98.3485,98.9112,98.6788,98.3184,0
240,88.0143,98.6053,103.359,103.966,103.203,102.862,102.663,102.833,102.922,0
241,94.5832,97.6733,99.5765,100.335,99.418,101.522,99.8268,100.286,100.212,0
242,72.416,90.9116,99.9009,100.311,100.69,100.732,100.607,100.862,100.755,0
243,66.2459,81.5484,87.8449,89.0453,88.8719,88.3502,89.1324,88.2621,88.122,0
244,77.4244,83.6001,87.7739,87.7666,88.0228,88.4797,88.3818,88.3603,88.3265,0
245,69.434,74.4769,84.1323,85.7154,87.6976,91.8378,93.402,94.4978,94.5744,1
246,69.1613,74.7241,83.69,85.1323,87.1356,90.8853,92.2718,93.5994,93.5384,1
247,73.1718,89.833,99.2266,100.055,100.183,100.192,99.8356,100.383,100.29,1
248,66.6832,81.6908,92.6649,95.3537,95.543,96.4268,96.2396,97.3735,97.7067,0
249,83.3133,85.821,86.6739,87.7759,88.1527,87.2973,86.7812,87.0167,87.4445,0
250,70.7937,87.4003,96.3664,98.9433,100.467,100.378,99.9184,101.191,101.952,0
251,67.8139,76.0552,82.3684,83.0637,84.0046,84.916,85.4659,85.2054,84.83,0
252,90.2426,96.5468,99.4765,99.7668,100.329,100.269,100.444,100.169,99.8542,0
253,84.7581,92.5634,98.4341,99.2398,99.5193,99.9708,100.013,100.015,99.8676,0
254,91.2326,98.0651,101.757,101.843,101.802,101.968,103.166,101.443,101.335,0
255,95.0819,97.4862,100.213,101.583,100.572,101.359,101.258,100.96,100.883,0
256,89.992,94.6176,98.5031,98.4413,102.782,98.8784,99.0039,98.9564,98.8524,0
257,83.8226,91.3721,98.1223,95.8804,96.223,96.8556,96.631,96.4003,96.3289,0
258,83.6619,89.744,95.3629,92.5538,92.8379,93.7142,94.6649,93.2547,93.188,0
259,86.3323,94.1245,98.9424,99.3645,99.3589,101.634,99.9589,100.426,100.505,0
260,100.088,100.545,100.788,100.863,99.8753,103.003,100.03,100.163,100.517,0
261,86.6559,94.5451,98.9776,99.4701,99.9335,99.9699,100.578,102.029,101.874,0
262,72.646,87.7065,98.0334,99.4481,100.681,102.068,102.55,104.716,104.59,0
263,65.6899,74.9154,81.2482,81.5837,82.1625,83.6633,83.2434,82.7626,82.6834,0
264,66.2431,83.6534,96.24,97.8231,98.0799,100.52,100.117,100.938,101.898,0
265,55.2085,75.9082,94.1023,95.4747,96.98,98.9466,99.4706,100.205,100.165,0
266,81.1509,90.7954,98.2295,98.1523,98.3854,98.5118,98.7161,98.2743,98.1447,0
267,70.3562,84.9082,95.1227,97.2745,98.0311,99.3659,99.6718,100.208,99.9177,0
268,64.9734,77.9479,86.6925,88.5372,89.4944,90.1962,90.3962,90.5539,90.2889,0
269,60.9056,81.1273,95.8391,97.1459,99.7337,100.222,101.711,101.283,101.211,0
270,78.4995,91.546,99.733,99.867,101.396,101.283,103.044,101.027,100.911,0
271,68.9032,85.836,98.2911,99.0271,100.216,100.842,100.696,100.845,100.832,0
272,98.4833,98.7447,101.84,98.6627,99.3686,99.5917,99.2038,98.7418,98.7246,0
273,85.0347,91.8039,96.4362,97.2254,97.5998,97.9873,98.411,98.2696,98.2221,0
274,93.6887,97.9907,100.716,101.192,101.183,103.265,101.553,101.514,101.536,0
275,93.0752,97.6533,100.557,100.485,100.47,100.668,100.749,100.719,100.716,0
276,89.8725,96.6715,100.524,99.2962,99.1412,99.2599,99.3873,99.3844,99.535,0
277,69.5449,82.5505,91.184,94.0068,92.7153,92.4758,92.8703,92.7512,92.9068,0
278,84.3633,92.0141,96.7618,100.142,98.8188,98.8217,99.3,99.1873,99.3833,0
279,65.2006,83.6183,96.7561,97.9725,98.767,99.3399,99.2088,99.528,99.431,0
280,77.7544,92.1228,99.9012,100.427,100.754,100.768,100.738,100.575,100.55,0
281,89.4615,95.7907,99.4393,99.6586,99.9152,100.272,102.74,99.9828,100.059,0
282,86.1701,92.4638,97.602,97.9228,98.6496,99.2064,101.654,99.8699,99.7116,0
283,87.2882,92.9421,99.6472,97.0716,97.8523,97.2088,98.2128,97.5999,97.2835,0
284,73.554,80.6009,88.2,85.3243,86.2061,85.8311,86.4213,86.2236,86.0783,0
285,81.6915,87.1824,90.4866,91.0054,91.3765,91.568,91.7259,91.7626,91.6827,0
286,59.9031,77.261,91.7083,94.4199,96.6809,98.6695,99.8367,100.297,100.178,0
287,59.282,75.865,89.7905,92.4969,94.6995,96.6107,98.045,99.0764,99.0609,0
288,81.2237,90.8168,97.6178,98.8049,99.1513,99.7322,100.05,99.8091,99.837,0
289,101.457,101.477,101.435,101.843,101.693,101.24,101.251,101.188,101.216,0
290,76.9797,89.1891,98.4794,100.476,98.5874,100.034,101.138,100.741,100.63,0
291,84.7869,93.2877,99.1318,100.865,98.5968,99.5814,100.645,100.37,100.08,0
292,69.9014,83.4999,94.1462,96.0606,98.4364,99.084,99.7371,100.013,100.128,0
293,89.0828,94.8415,98.5011,99.5278,100.718,99.8687,100.023,99.6611,99.672,0
294,68.5752,78.0265,84.2507,85.9262,85.8908,86.6057,86.9768,86.8232,86.7352,0
295,65.1781,78.675,88.8603,91.1791,92.1947,93.0658,93.7273,94.2244,94.1052,0
296,71.7661,86.2447,97.2912,98.2027,99.0731,99.3434,99.6768,100.079,100.099,0
297,80.5573,91.5921,97.7248,98.742,99.5176,99.7605,101.136,100.1,100.107,0
298,86.9998,93.783,97.8787,98.5844,98.4934,98.5284,98.6017,98.6006,98.5578,0
299,70.9989,86.4179,97.3224,98.4598,98.7155,98.5187,98.9587,99.454,99.4827,0
300,81.4818,93.5311,100.624,100.9,102.221,101.006,101.106,101.401,101.275,0
